,nces_district_id,state_district_id,lea_name,students,teachers,schools,locale,student_teacher_ratio,percent_of_inexperienced_teachers,percent_of_out_of_field_teachers,student_school_psychologists_ratio,student_support_services_staff_ratio,student_school_counselors_ratio,student_librarians_media_specialists_ratio,percent_title_1_schools,percent_title_1_schoolwide_schools
115,5103660,VA-089,STAFFORD CO PBLC SCHS,30086,1769.3,34,Suburb,17.0,31.4,6.6,2005.7,218.5,204.9,354.0,23.5,0.0
116,5103690,VA-126,STAUNTON CITY PBLC SCHS,2737,177.8,6,City,15.4,11.2,1.5,1368.5,113.1,248.8,238.0,50.0,100.0
117,5103710,VA-127,SUFFOLK CITY PBLC SCHS,14322,995.2,22,Suburb,14.4,2.0,3.2,2864.4,136.0,188.4,596.8,40.9,100.0
118,5103750,VA-090,SURRY CO PBLC SCHS,738,79.0,3,Rural,9.3,2.1,8.3,738.0,45.8,123.0,184.5,66.7,0.0
119,5103780,VA-091,SUSSEX CO PBLC SCHS,1091,92.6,3,Rural,11.8,14.9,4.0,1091.0,545.5,121.2,242.4,66.7,100.0
120,5103810,VA-092,TAZEWELL CO PBLC SCHS,5585,351.0,14,Town,15.9,8.2,3.7,2792.5,58.2,214.8,446.8,50.0,100.0
121,5103840,VA-128,VA BEACH CITY PBLC SCHS,68706,4244.5,87,City,16.2,3.7,0.4,1779.9,158.5,172.0,227.4,19.5,100.0
122,5103870,VA-093,WARREN CO PBLC SCHS,5372,372.1,9,Town,14.4,16.7,1.1,1790.7,134.3,179.1,298.4,44.4,100.0
123,5103900,VA-094,WASHINGTON CO PBLC SCHS,7050,496.6,16,Rural,14.2,2.1,1.6,2350.0,36.5,227.4,293.8,43.8,28.6
124,5103930,VA-130,WAYNESBORO CITY PBLC SCHS,2961,191.7,7,Suburb,15.4,7.5,0.8,1480.5,115.2,164.5,722.2,28.6,100.0
125,5103950,VA-207,WEST POINT PBLC SCHS,802,62.7,2,Town,12.8,1.4,5.8,inf,286.4,133.7,229.1,50.0,0.0
126,5103980,VA-095,WESTMORELAND CO PBLC SCHS,1603,127.9,4,Rural,12.5,5.5,8.2,1603.0,69.7,160.3,262.8,50.0,100.0
127,5104020,VA-131,WILLIAMSBURG-JAMES CITY PBLC SCHS,11639,736.9,16,Suburb,15.8,2.7,1.3,1662.7,80.7,168.7,332.5,43.8,14.3
128,5104050,VA-132,WINCHESTER CITY PBLC SCHS,4387,343.3,7,City,12.8,2.4,4.4,1096.8,137.1,217.2,315.6,57.1,100.0
129,5104080,VA-096,WISE CO PBLC SCHS,5631,399.6,13,Town,14.1,4.1,0.0,1877.0,140.4,187.7,1126.2,38.5,100.0
130,5104110,VA-097,WYTHE CO PBLC SCHS,3982,271.1,13,Rural,14.7,3.4,7.1,3982.0,517.1,163.2,252.0,46.2,100.0
131,5104150,VA-098,YORK CO PBLC SCHS,12978,827.2,19,Suburb,15.7,2.8,1.8,1622.2,72.2,204.4,360.5,15.8,100.0
